School Name,School Code,Attendance Rate,Average # of Absences,Absent 10 or more days,Chronically Absent (10% or more),Unexcused > 9 days,school_year,Chronically Absent (20% or more),ORG_CODE,DISTRICT_NAME,SCHOOL_NAME,COUNTY,School_Total,# of students 7-12th grades,Have Middle or High Schoolers?,% PK - 6th graders,Include in SMITH visualization?
Springfield-John J Duggan Middle,02810320,93.2,11.5,38.3,22.1,30.5,2018-19,NA,0281,Springfield,John J Duggan Academy,Hampden,823,652,Yes,21%,Include
Springfield-Forest Park Middle,02810325,91.0,15.2,48.1,28.1,33.0,2018-19,NA,0281,Springfield,Forest Park Middle,Hampden,282,182,Yes,35%,Include
Springfield-John F Kennedy Middle,02810328,88.5,19.3,64.8,41.2,55.7,2018-19,NA,0281,Springfield,John F Kennedy Middle,Hampden,366,224,Yes,39%,Include
Springfield-Springfield Public Day Middle School,02810345,85.1,24.9,72.9,58.3,50.0,2018-19,NA,0281,Springfield,Springfield Public Day Middle School,Hampden,60,46,Yes,23%,Include
Springfield-STEM Middle Academy,02810350,96.1,6.9,25.3,5.8,7.2,2018-19,NA,0281,Springfield,STEM Middle Academy,Hampden,269,178,Yes,34%,Include
Springfield-South End Middle School,02810355,90.5,15.7,61.7,36.9,44.6,2018-19,NA,0281,Springfield,South End Middle School,Hampden,163,114,Yes,30%,Include
Springfield-Balliet Middle School,02810360,66.7,55.2,87.2,79.5,84.6,2018-19,NA,0281,Springfield,Springfield Middle School,Hampden,18,17,Yes,6%,Include
Sutton-Sutton Middle School,02900305,96.3,6.6,19.6,5.9,6.2,2018-19,NA,0290,Sutton,Sutton Middle School,Worcester,313,196,Yes,37%,Include
Sutton-Sutton High School,02900510,95.1,8.6,35.9,7.1,11.2,2018-19,NA,0290,Sutton,Sutton High School,Worcester,367,367,Yes,0%,Include
Tantasqua-Tantasqua Regional Jr High,07700405,94.8,9.3,36.3,11.7,0.0,2018-19,NA,0770,Tantasqua,Tantasqua Regional Jr High,Worcester,576,576,Yes,0%,Include
Tantasqua-Tantasqua Regional Sr High,07700505,94.6,9.5,30.5,12.7,0.0,2018-19,NA,0770,Tantasqua,Tantasqua Regional Sr High,Worcester,632,625,Yes,0%,Include
Tantasqua-Tantasqua Regional Vocational,07700605,93.8,10.9,40.5,18.3,0.0,2018-19,NA,0770,Tantasqua,Tantasqua Regional Vocational,Worcester,542,542,Yes,0%,Include
Uxbridge-Gateway to College,03040515,100.0,0.0,0.0,0.0,0.0,2018-19,NA,0304,Uxbridge,Gateway to College,Worcester,44,44,Yes,0%,Include
Uxbridge-Uxbridge High,03040505,93.6,11.0,37.7,17.9,11.5,2018-19,NA,0304,Uxbridge,Uxbridge High,Worcester,590,582,Yes,0%,Include
Veritas Preparatory Charter School (District)-Veritas Preparatory Charter School,04980405,94.5,9.7,39.8,16.2,30.4,2018-19,NA,0498,Veritas Preparatory Charter School (District),Veritas Preparatory Charter School,Hampden,712,495,Yes,30%,Include
Wachusett-Chocksett Middle School,07750315,95.8,7.4,25.8,6.3,0.3,2018-19,NA,0775,Wachusett,Chocksett Middle School,Worcester,264,127,Yes,52%,Include
Wachusett-Central Tree Middle,07750310,96.0,7.1,25.8,4.6,0.0,2018-19,NA,0775,Wachusett,Central Tree Middle,Worcester,369,249,Yes,33%,Include
Wachusett-Mountview Middle,07750305,96.0,7.2,25.2,5.7,0.0,2018-19,NA,0775,Wachusett,Mountview Middle,Worcester,773,504,Yes,35%,Include
Wachusett-Wachusett Regional High,07750505,95.8,7.5,23.3,6.5,0.0,2018-19,NA,0775,Wachusett,Wachusett Regional High,Worcester,1779,1760,Yes,0%,Include
Ware-Ware Junior/Senior High School,03090505,92.7,12.4,43.6,23.4,22.0,2018-19,NA,0309,Ware,Ware Junior/Senior High School,Hampshire,425,416,Yes,0%,Include
Webster-Bartlett High School,03160505,90.1,16.3,54.3,37.9,0.4,2018-19,NA,0316,Webster,Bartlett High School,Worcester,408,404,Yes,0%,Include
Webster-Webster Middle School,03160315,92.1,13.4,50.8,28.8,0.0,2018-19,NA,0316,Webster,Webster Middle School,Worcester,566,293,Yes,48%,Include
West Boylston-West Boylston Junior/Senior High,03220505,95.8,7.4,27.5,7.7,26.9,2018-19,NA,0322,West Boylston,West Boylston Junior/Senior High,Worcester,461,382,Yes,17%,Include
West Springfield-West Springfield Middle,03320305,95.4,7.9,30.6,9.5,0.2,2018-19,NA,0332,West Springfield,West Springfield Middle,Hampden,909,612,Yes,33%,Include
West Springfield-West Springfield High,03320505,94.4,9.7,31.8,15.5,2.1,2018-19,NA,0332,West Springfield,West Springfield High,Hampden,1231,1221,Yes,0%,Include
Westborough-Sarah W Gibbons Middle,03210305,97.0,5.3,15.3,4.0,0.0,2018-19,NA,0321,Westborough,Sarah W Gibbons Middle,Worcester,610,610,Yes,0%,Include
Westborough-Westborough High,03210505,95.7,7.4,24.7,9.4,0.0,2018-19,NA,0321,Westborough,Westborough High,Worcester,1213,1204,Yes,0%,Include
Westfield-Westfield High,03250505,92.2,13.3,42.1,21.9,15.9,2018-19,NA,0325,Westfield,Westfield High,Hampden,1034,1020,Yes,0%,Include
Westfield-Westfield Technical Academy,03250605,94.8,9.1,34.1,13.9,8.7,2018-19,NA,0325,Westfield,Westfield Technical Academy,Hampden,557,557,Yes,0%,Include
Westfield-Westfield Middle School,03250310,93.7,11.0,42.5,18.8,24.6,2018-19,NA,0325,Westfield,Westfield Middle School,Hampden,671,671,Yes,0%,Include
Winchendon-Murdock High School,03430515,91.3,14.9,52.8,27.2,40.5,2018-19,NA,0343,Winchendon,Murdock High School,Worcester,256,253,Yes,0%,Include
Winchendon-Murdock Middle School,03430315,94.6,9.3,37.0,14.4,30.1,2018-19,NA,0343,Winchendon,Murdock Middle School,Worcester,281,191,Yes,32%,Include
Worcester-Doherty Memorial High,03480512,92.8,12.2,44.9,22.1,37.3,2018-19,NA,0348,Worcester,Doherty Memorial High,Worcester,1573,1565,Yes,0%,Include
Worcester-North High,03480515,91.6,13.8,49.9,27.5,46.6,2018-19,NA,0348,Worcester,North High,Worcester,1376,1362,Yes,0%,Include
Worcester-South High Community,03480520,91.5,14.1,51.6,27.8,46.3,2018-19,NA,0348,Worcester,South High Community,Worcester,1800,1779,Yes,0%,Include
Worcester-Worcester Technical High,03480605,96.0,7.0,24.8,6.7,20.7,2018-19,NA,0348,Worcester,Worcester Technical High,Worcester,1442,1419,Yes,0%,Include
Worcester-Burncoat Senior High,03480503,92.5,12.7,46.7,22.0,43.0,2018-19,NA,0348,Worcester,Burncoat Senior High,Worcester,1073,1050,Yes,0%,Include
Worcester-Sullivan Middle,03480423,94.3,9.8,36.7,16.2,34.5,2018-19,NA,0348,Worcester,Sullivan Middle,Worcester,940,892,Yes,5%,Include
Worcester-Worcester East Middle,03480420,93.5,11.0,42.9,20.8,37.1,2018-19,NA,0348,Worcester,Worcester East Middle,Worcester,731,731,Yes,0%,Include
Worcester-Forest Grove Middle,03480415,95.3,8.3,31.4,10.4,25.2,2018-19,NA,0348,Worcester,Forest Grove Middle,Worcester,839,839,Yes,0%,Include
Worcester-Burncoat Middle School,03480405,95.0,8.8,32.9,10.1,30.6,2018-19,NA,0348,Worcester,Burncoat Middle School,Worcester,720,720,Yes,0%,Include
Worcester-Claremont Academy,03480350,93.3,11.3,41.5,22.0,37.4,2018-19,NA,0348,Worcester,Claremont Academy,Worcester,474,473,Yes,0%,Include
Worcester-University Pk Campus School,03480285,95.9,7.2,28.3,12.5,23.8,2018-19,NA,0348,Worcester,University Pk Campus School,Worcester,233,233,Yes,0%,Include
